                 Auteur                                    Société Année                                                                                                   Titre
              CHEBAK S.                                    SEABIRD  2024           Evolution des tarifs de santé : analyse de l’impact de la réforme de la Protection Sociale...
           CHEBCHOUB H.                                        PwC  2024             Généralisation du modèle de Mack à l’environnement 3D de la Responsabilité Civile Décennale
                CHEN C.                               Allianz IARD  2024                  Analyse comparative de modèles classiques de provisionnement en assurance construction
                CHEN J.                   AXA GLOBAL DIRECT FRANCE  2024                                Tarification de la prime pure dommages matériels en assurance automobile
                CHEN M.                                       KPMG  2024                              Impact de la transférabilité inter-compagnies des contrats d'assurance vie
      COHEN-MEGAIDES A.                                    Pro BTP  2024          Gestion du risque inflation dans une Institution de Prévoyance : analyse d'une stratégie de...
             CORDIER A.                             EXIOM PARTNERS  2024 Identification et quantification des facteurs influençant la sensibilité à la convexité de la courbe...
             CORTAIS A.                                   MMA IARD  2024      Création d’un véhiculier en flotte automobile par l’intermédiaire des méthodes de Machine Learning
             CYPRIEN R.                                   Actélior  2024       Projection de la rentabilité d'un portefeuille d'assurance emprunteur et impact de la loi Lemoine
      DANIEL-QUEMERE S.                                 Axa France  2024           Profilage des résiliants et stratégies de rétention dans le domaine de l'assurance emprunteur
            DELFAURE P.                             CNP Assurances  2024                                  Simplification du processus de production du compte de résultat IFRS17
         DIAKHATE O. B.         Caisse des dépôts et consignations  2024           Allocations d'actifs d'un régime de retraite basés sur un générateur de scénarios économiques
               DIANE B.                                 AXA France  2024     Classification et segmentation tarifaire en vision Best Estimate des risques des Identifiants de...
               DIENG P.                                 Axa France  2024                                  Construction d'un zonier pour la tarification en assurance d'immeubles
             DOUMBIA I.                        Nexialog Consulting  2024                        Analyse de l'impact de l'ajout du bitcoin dans le portefeuille d'un assureur vie
   DUFOUR-LAMARTINIE A.                       La France Mutualiste  2024                                        Approximation du SCR par un réseau de neurones dans un cadre ALM
            DUSSEAUX T.                           Mazars Actuariat  2024    Pilotage stratégique du P&L IFRS 17 d'un contrat assurance épargne évalué sous le modèle BBA modifié
      EL HAJJ HASSAN R.                         Abeille Assurances  2024         Construction d'une table de mortalité d'expérience prospective en France dans le contexte de...
           EL KHOURY L.            April International Care France  2024                                                                Détection de la fraude à l’international
         EL MEKKOUDI K.                                    Relyens  2024   Évaluation et estimation du risque de prime et du ratio de solvabilité : Impact des taux QP et des...
           EL MOHANI M.                           MAZARS ACTUARIAT  2024     Optimisation des politiques commerciales et des stratégies d’investissements dans un contexte de...
               ELBAZ A.                           Deloitte Conseil  2024                   Prédiction du SCR marché par machine learning et application aux tests de sensibilité
             EMILIEN J.                 Crédit Agricole Assurances  2024            Ajustement de la méthodologie de calcul de la marge de risque en contexte de hausse des taux
             FALL N. A.                            AXA FRANCE IARD  2024   Impact des défaillances d’entreprises sur la tarification de la branche Construction dans un monde...
               FANET A.             SWISSLIFE ASSURANCE PATRIMOINE  2024                    Analyse de variation de la marge de service contractuelle du modèle VFA sous IFRS 17
        FOMEN TCHANA P.                                   Actuelia  2024      Analyse du taux de surprime du régime des Catastrophes Naturelles et impact des tempêtes sur la...
   FOUGERE--BALLE M.-C.                               Sia Partners  2024                    Peut-on optimiser la rentabilité du PER tout en privilégiant une allocation durable?
            FRANCONY C.                                   Milliman  2024               Intégration du risque climatique dans les scénarios risque-neutre des trajectoire actions
            GANSONRE F.                                 Partner Re  2024                       Revue du calibrage du modèle action au sein du GSE d'une compagnie de réassurance
                GAYE A.                                    PRO BTP  2024        Impact de l'application des Undertaking Specific Parameters sur le ratio de solvabilité d'une...
         GENNESSEAUX B.                                       KPMG  2024   Impact de variations des taux sur l'effet Bow-Wave pour un contrat épargne évalué en VFA sous IFRS...
              GERACI L.                             Exiom Partners  2024                       Ajustement de lois comportementales Euro et UC dans un contexte de taux volatiles
              GHARBI R.                 Crédit Agricole Assurances  2024                                                           Scoring de profil de risque - Assurance santé
               GIMIÉ F.             Swiss Life Prévoyance et Santé  2024     Mesure de l’impact des vagues de chaleur sur le risque de passage aux urgences et d’hospitalisation
             GIRONCE T.                                     APICIL  2024                                      Refonte des bases de tarifications en arrêt de travail chez APICIL
             GRANIER C.                             Exiom Partners  2024                     Intérêt du modèle LMM-SABR pour la modélisation des taux d'intérêt en assurance-vie
             HASSINE A.                             CNP Assurances  2024                                                   Modèles de taux et conditions de volatilités extrêmes
      HENSMAN STALIN N.                             Exiom Partners  2024                                  Modélisation d'une carte d'exposition au risque ouragan aux Etats-Unis
                HERR M.              Groupama Assurances Mutuelles  2024       Intégration de l'inflation dans le calcul de la volatilité des réserves des segments construction
                HERY M.                           Malakoff Humanis  2024                Modélisation du taux de transformation et mesure de l'élasticité prix en assurance santé
                HOTI K.                           Mazars Actuariat  2024                                              Étude de l’eurocroissance dans un environnement multinorme
              ISNART G.                          La Banque Postale  2024               Projection de la probabilité de défaut dans des contextes économiques normaux et extrêmes
               ISNER J.                                   Addactis  2024       Comptabilisation du résultat financier sous le modèle BBA en IFRS17 : application aux contrats...
             JEANNIN O.                                 April Moto  2024    Optimisation tarifaire d’une offre d’Assurance Moto par une double approche actuarielle et marketing
  JULIEN SAINT AMAND O.                                     Fixage  2024        L'allocation du bénéfice de diversification entre segments d'activités du SCR appliquée à une...
                JULY P.                                Groupe AGPM  2024     Cartographie des risques de catastrophes naturelles et projection de la sinistralité à l’horizon...
         KABORE K. G.S.                                    Sogecap  2024    Intégration du risque climatique dans l’ORSA en assurance vie Epargne : application à une société...
        KABORE T. S. A.                         Abeille Assurances  2024   Validation d’un générateur de scénarios économiques risque neutre et allocation de fuite de modèle...
           KAGLAN M. C.                                 AXA France  2024 Mise en place d'une approche de calibration locale des chocs SII Incapacité-invalidité en Prévoyance...
          KERMORVANT T.                           Mazars Actuariat  2024              Modélisation et projection du risque de sécheresse : Etude de soutenabilité à horizon 2050
             KHEMIRI H.                Société Générale Assurances  2024                 Modélisation de l'inflation en épargne : un enjeu dans la projection des frais généraux
            KHOUEIRY E.                                  Tutélaire  2024       Prise en compte des risques de durabilité dans le calcul du capital de solvabilité requis sous...
         KOUACOU G.R.K.                             Exiom Partners  2024     Projection d’un portefeuille de rente en cours (Incapacité/invalidité) en prévoyance collective....
             KOUASSI Y.                                Cardif IARD  2024         Exploitation d'images de cartes dans la modélisation de la sinistralité en assurance habitation
           LAFRAM M. C.                 Crédit Agricole Assurances  2024                                    Pilotage du fonds Euro en Italie dans un cotexte économique volatile
             LAGORCE J.                      Prepar-Vie Assurances  2024                                      Garantie plancher en cas de décès sur des contrats d'assurance vie
            LAMBOLEZ G.                                   Optimind  2024        Construction d'un modèle à état prévoyance et application à la compréhension du résultat IFRS 17
     LANKOANDE B. F. L.                                     Fixage  2024     Effet de la réforme des retraites de 2023 sur les engagements et la solvabilité d'un assureur de...
              LANNOY L.                     April Santé Prévoyance  2024           Tarification d’un produit emprunteur en primes nivelées : étude d’une innovation tarifaire...
          LANTUEJOUL A.                           AG2R La Mondiale  2024  Analyse du risque de mortalité sur le provisionnement en arrêt de travail par la construction d'une...
             LE DOUSSAL                                   Prim'Act  2024                             Intégration des critères ESG pour l'allocation d'actifs d'un assureur santé
           LE FLOHIC B.                                    Relyens  2024  Evaluation et projection de l’impact des différents traités de réassurance sur le risque de réserve...
            LE PABIC E.                                     Klesia  2024      Construction d'un outil dynamique de plan prévisionnel d'activité Groupe et impacts de l'inflation
           LECOINTRE V.                                 AXA France  2024    Les traitements envisageables sur les scénarios prospectifs bicentenaires de longévité permettant...
             LECOMTE P.                                Hannover Re  2024                            Segmentation et tarification du risque incapacité en prévoyance individuelle
           LECOUBLET K.                                        PwC  2024           Risque RGA : projections climatiques et impact des changements desparamètres du régime CatNat
              LENOIR M.                           Mazars Actuariat  2024         Mesure et prise en compte du risque inflation dans le provisionnement en assurance construction
              LEWDEN T.                                Manco Paris  2024                                                      Modélisation d'investissement en viager immobilier
                  LI E.                                    Allianz  2024  Modélisation de la sinistralité du portefeuille d'Allianz IARD dans le cadre de la détermination de...
                  LI Y.                               Generali Vie  2024                                       Modélisation du risque de réserve dans le contexte inflationniste
                  LI Y.                            ADDACTIS France  2024      Diversification et réallocation aux groupes de contrats de l'ajustement pour risques en modèle PAA
              LOURME C.                                 Axa France  2024                  Provisionnement individuel du risque incendie par méthodes d’apprentissage automatique
              MADERN S.                           Banque de France  2024    Incidences financières de la réforme des retraites 2023 sur le régime de retraite de la Banque de...
            MALAQUIN M.                 Crédit Agricole Assurances  2024                                       Tarification d'une grantie coups durs pour les contrats d'épargne
          MANIGHETTI C.                    Mercer Consulting Group  2024    Comparaison de deux dispositifs de retraite supplémentaire à destination des cadres dirigeants et...
     MBATCHOU SUNANG E.                            Axa France IARD  2024      Analyse du risque géographique en assurance Construction dans le cadre de la tarification de la...
   MEKIE CHAMI K. W. N.                               Allianz IARD  2024                                      Modélisation et optimisation du tarif en assurance professionnelle
             MESKANI Z.                           Deloitte Conseil  2024                 Modélisation de la charge du risque cyber des entreprises à partir des données externes
               MEYER S.                                   Prim'Act  2024                    Evaluation des engagements en assurance vie à l'aide de méthodes de machine learning
          MONTESINOS A.                          Addactis Software  2024          Modélisation de produits vie et optimisation de performances dans un cadre international et...
              MOTARD C.                             Grant Thornton  2024                                       Analyse quantitative de la qualité des données sous Solvabilité 2
            MOUADDIB O.                       La Mutuelle Générale  2024     Construction de tables d'expérience pour le maintien en incapacité pour le contrat collectif des...
              MOULIN B.                      ACPR Banque de France  2024 Un générateur de scénarios économiques pour évaluer l'impact de la conjoncture inflationniste sur le...
             MOUSSA  A.                          Swiss Life France  2024                                                     Techniques de planification budgétaire sous IFRS 17
                 NDIAYE                                 Axa France  2024       Calibrage de la tarification en incapacité temporaire à partir des Identifiants de Conventions...
     NGATCHOU MBONDA A.                 Crédit Agricole Assurances  2024            Maîtrise des écarts d'expérience et fiabilisation du P&L IFRS 17 sur le périmètre Emprunteur
          NGUYEN B.M.N.                            Forsides France  2024         Mesure du phénomène de l’anti-sélection en assurance santé à travers la théorie de l’utilité...
         NGUYEN NHON L.                                   Forsides  2024                          Quel intérêt d’intégrer le support Croissance dans son offre produit épargne ?
            NGUYEN Q.T.                             CNP Assurances  2024      Construction d’une loi de maintien en dépendance sur un portefeuille de fonctions publiques d'état
           NGUYEN T. N.                          La Banque Postale  2024   Approche probabiliste de scénarios macro-économiques dans le cadre de la sensibilité des ratios de...
              NOIREZ C.                            Generali France  2024         Construction des tables d'expérience pour le maintien en incapacités de passage en assurance...
             NORMAND A.                           Deloitte Conseil  2024               Appréhender la valorisation d'une société d'assurance vie dans le cadre d'une acquisition
                NURY S.                             CNP Assurances  2024  Générateurs de scénarios économiques : étude de modèles de diffusion action dans le cadre du calcul...
              OLLIER G.                          Swiss Life France  2024  Optimisation de la couverture contre la hausse des taux en assurance vie à l’aide d’un portefeuille...
              OUGLOV N.                                     CCR Re  2024          Généralisation de la méthode de Pareto par morceaux dans le but d’obtenir une courbe de marché
            PAFADNAM J.                            Le Conservateur  2024                            Valorisation, maitrise et projection des unités d compte produits structurés
              PASCAL J.                Société Générale Assurances  2024                           Modélisation des rachats conjoncturels euro dans le cadre d’une assurance vie
               PASSE E.                           Malakoff Humanis  2024                                Impact du calibrage des GSP sur le SCR d'un groupe de protection sociale
           PEILLERON T.                        Nexialog Consulting  2024        Optimisation de stratégie d’allocation d’actifs en ALM à l’aide de la méta-modélisation et de...
               PEREZ A.                             SPAC Actuaires  2024                               Valorisation en juste valeur de titres non côtés régis par le norme IFRS2
               PERON C.                              Guy Carpenter  2024    Estimation du coût de la sécheresse en France à l'aide de l'apprentissage automatique des données...
              PERRIN K.                                     Matmut  2024  Calcul de paramètres propres d'un groupe d'assurance mutualiste, analyse qualitative des données et...
          PERRINGAUX A.                           Generelai France  2024         Modélisation tarifaire d'une garantie Tempête pour les contrats habitations grâce à l'open data
                PHAN L.                         BNP Paribas Cardif  2024         Pilotage stratégique d'un portefeuille de contrats d'Epargne individuelle sous la norme IFRS 17
          PILLEVESSE S.                                       KPMG  2024                         Méthodes d'évaluation de la juste valeur dans le cadre d'une fusion-acquisition
            PREMILAT E.                                   BPCE Vie  2024     Impact de dégradations de rating obligataires sur des indicateurs multi-normes et pilotage possible
              QUEANT N.                                      Mutex  2024                              Maîtrise de l'arrêt de travail d'un compte client en prévoyance collective
                RADI I.                                   Prim'Act  2024                                 Agrégation des marges vie et non-vie pour le calcul de la valeur client
        RAFALIMANANA G.                          Swiss Life France  2024   Etude de l'impact du 100% Santé sur un portefeuille santé individuelle senior et tarification d'un...
         RANAIVOSATA T.                           Malakoff Humanis  2024            Impact de la réforme des retraites 2023 sur une table d'expérience de maintien en incapacité
               RANDI C.                                     Acheel  2024                        Application de l'Automated Machine Learning à la tarification en assurance santé
             RANGUIN A.                                        CCR  2024                                                 Modélisation du risque cyber des entreprises françaises
           REICHARDT L.              Groupama Assurances Mutuelles  2024      Evaluation de l'incertitude sur paramètres et intégration de données externes dans le calcul du...
           RENAUDEAU A.                                       MAIF  2024     Identification de profils de risques pour les sinistres importants sur les garanties incendie et...
              RHIATI M.              Groupama Assurances Mutuelles  2024          Intégration du risque de transition dans le dispositif de gestion de risque d'une compagnie...
             RIBAULT J.              Swiss Life Santé & Prévoyance  2024            Mesure de l'impact de la prévention santé sur un portefeuille arrêt de travail en individuel
              ROBERT J.                             CNP Assurances  2024     Opportunités de gestion du capital au sein d’un Fonds de Retraite Professionnelle et Supplémentaire
           ROSSIGNOL V.                                    Sogecap  2024        Construction de lois d’expérience et mise en oeuvre d’une refonte tarifaire sur un produit de...
          ROUMEUR M.-E.                                   Accuracy  2024        Modélisation du risque physique climatique lié aux cyclones tropicaux, appliquée aux garantie...
            ROUSTIDE G.                                 Axa France  2024   Méthode de tarification en assurance emprunteur individuelle : un choix de maitrise des taux et de...
               SAADE W.                                SIAPARTNERS  2024                            Avec la hausse des taux, faut-il orienter la collecte vers l'Eurocroissance?
             SABBAGH S.                                BNP Paribas  2024       Optimisation d'un portefeuille d'investissement durable et sa résilience face au risque de marché
              SAFAIE T.                                 Axa France  2024                     Utilisation du smart contract pour la gestion des complémentaires santé collectives
             SAKTOUN Y.                                 AXA France  2024                                      Adaptation de la loi de rachats conjoncturels à la hausse des taux
              SALAUN F.                           Deloitte Conseil  2024 Modélisation par apprentissage statistique du lien température-mortalité en Open Data et application...
               SEBTI T.                             Exiom Partners  2024 Couverture et atténuation des risques financiers sous Solvabilité 2, en Formule Standard : Focus sur...
                SMAL M.                             Exiom Partners  2024                                                                Modélisation du risque sécheresse en MRH
          SMIAROWSKI A.                             Exiom Partners  2024                               Chaos financier et Pratiques Actuarielles : L'Actuaire en Amérique Latine
              SOARES K.                                     Klesia  2024   Impacts en normes sociales et prudentielles de la mise en place d’un partenariat de réassurance en...
           SOUMAHORO A.                         Abeille assurances  2024                            Apprentissage du modèle ALM pour un usage quotidien au service du management
              STIGAS N.              Groupama Mutuelles Assurances  2024     Construction de tables d’expérience pour le maintien en incapacité et pour le passage en invalidité
                 SUN A.                           Malakoff Humanis  2024                     Approche bayésienne pour la tarification à posteriori en assurance santé collective
                 SUN T.                              Groupe APICIL  2024         Application du stress-test des risques climatiques pour 2022-2027 sur une compagnie d'assurance
        TABET DERRAZ A.                   GIE D'ABEILLE ASSURANCES  2024       Anticipation des rachats et application à la valeur client pour des portefeuilles d'assurance vie
                TAFO J.                               ARRA Conseil  2024                                       Un nouveau rôle pour sinsitres inconnus en prévoyance collective?
               TALEB M.                       La Mutuelle Générale  2024                Etude des corrélations entre la consommation des ffrais de santé et l'état de dépendance
               TANNE M.                                   Forsides  2024   Génération stochastique de trajectoires climatiques pour la modélisation de la fréquence du risque...
     THAMARAIKKANNAN L.                                   Addactis  2024       Développement de méthodes simplificatrices pour le calcul de la marge pour risque classique et...
            THIBAULT M.                                         EY  2024        Pilotage économique multinorme et communication financière dans le cadre de la création d'une...
               TONIN A.                                   Milliman  2024                                     Réduction du nombre de simulations risque-neutre dans un modèle ALM
              TRUONG T.                                  QBE SA/NV  2024                     Tarification par exposition en XS par risque : application sur les Speciality Lines
           VAYSSETTE L.                                   Forsides  2024                             Analyse de l'écoulement de CSM d'un contrat épargne sur le fonds croissance
                WANG E.                          Swiss Life France  2024           Rentabilité des affaires nouvelles ; étude comparative d'indicateurs a priori et a posteriori
                WANG J.                                    GIE AXA  2024                  Risk assessment of natural perils impacts: data, backtesting and multi-hazard approach
              WATRIN E.                                  Accenture  2024    Valorisation de données satellites pour l'appréhension du risque inondation : création d'un outil...
               YANOU A.                             Exiom Partners  2024                                                Gestion Actif-Passif d'une compagnie de garantie caution
              ZERBIB D.                            Forsides France  2024  Pour quel profil de compagnies, une modélisation stochastique du risque de crédit dégrade-t-elle sa...
            FEYBESSE M.                  Command Strategy Advisory  2023       Intération des enjeux ESG (Environnement, Social, Gouvernance) dans la gestion du portefeuille...
 A-ICHA ISSOU WALIDA K.                          Harmonie Mutuelle  2023                        Construction d'une table de maintien en arrêt de travail en assurance emprunteur
         ABDEL SALAM M.                       BPCE Assurances IARD  2023  Tarification des tranches peu travaillantes d'un traité de réassurance en excédent de sinistre pour...
           ABISSEROR M.                                   Nexialog  2023     Un produit innovant répondant aux besoins spécifiques des TNS : regrouper les garanties santé et...
           ADEDJOUMA Y.                         Moonshot Insurance  2023     Construction d'un produit d'assurance cyber pour les PME/TPE : Zoom sur la garantie atteinte aux...
               AIDAN G.                 Crédit Agricole Assurances  2023  Quelles retraites supplémentaires choisir pour optimiser au mieux la rentabilité d'un dispositif de...
              AIDDID J.                         Abeille Assurances  2023        Mise en place d'un prix technique de référence pour un pilotage prospectif : application à un...
            AKBARALY A.                             CNP Assurances  2023      Construction d’une loi de mortalité prospective sur un produit de retraite par une méthode exogène
                AKLI N.                            Forsides France  2023                                                 Inflation et hausse des taux : impacts en assurance vie
         ALKHOURY P. M.                 Crédit Agricole Assurances  2023                            Analyse du lien entre la consommation médicale et le risque arrêt de travail
             ALLAIRE B.                                   Optimind  2023                                   Impact prospectif de la pollution de l'air en assurances de personnes
              ALLAIS N.                            Generali France  2023                                              Impact des primes et frais stochastiques en modèle interne
                AMAR A.                                       KPMG  2023                             La variabilité de l’ajustement pour risque sous IFRS17 en assurance non-vie
            AMEZIANE A.                         BNP Paribas Cardif  2023                                               L'intérêt de la modélisation du Repo chez un assureur vie
              ANGELY J.                                 AXA France  2023       Impacts des mesures mises en place en contexte de taux bas pour améliorer la rentabilité et la...
               AUTER F.                                   Milliman  2023          Intégration du risque mortalité dans un générateur de scénarios économiques : évaluation et...
               AZEMI R.                Réunion Aérienne & Spatiale  2023                  Assurance aviation : Modélisation de la sinistralité et optimisation de la réassurance
             AZOULAY S.                             CNP Assurances  2023           Etude d'un besoin en réassurance pour le risque arrêt de travail d'un portefeuille emprunteur
                  BA B.                     Axa Global Reinsurance  2023           Mise en place d'un outil d'optimisation d'une structure de réassurance via les algorithmes...
         BALANDA  A. S.                 Crédit Agricole Assurances  2023         Elaboration et impact de nouveaux chocs biométriques dans la formule standard pour le risque...
         BALDACCHINO M.         Caisse des dépôts et consignations  2023   Etude du modèle de Black-Litterman et de son application dans le cadre de l’allocation stratégique...
               BALDE M.                                    GIE Axa  2023                                             Optimisation de la structure de réassurance du risque Cyber
             BALE G. B.                               Generali Vie  2023  Applications des techniques non-vie sur le périmètre Santé de Generali VIE pour le calcul du SCR en...
               BANCE Y.                           Galea & Associés  2023                   Solution d'assurance indicielle beau temps contre les aléas climatiques en camping...
             BARLIOT E.                                   Generali  2023                                         Apport de la Data Science pour la tarification en assurance MRH
            BARNASSO R.                                     Asigma  2023                             Etude et analyse de la TVOG d’un contrat d’épargne Euro sous Solvabilité II
            BASCHUNG L.                           Malakoff Humanis  2023                    Estimation de la FDB : mise en place d’un proxy sur la base d’indicateurs financiers
               BATUT C.                                   Addactis  2023  Aide à la construction d’un plan de prévention santé optimisé grâce à l’exploitation des données et...
              BEAUNE A.                                 Axa France  2023                                                          Création d'une table d'incidence en invalidité
          BEDO G. J. M.                 Crédit Agricole Assurances  2023                                Impacts de la révision de Solvabilité 2 sur une compagne d’assurance vie
             BEIGNON L.                                       KPMG  2023                           Mise en place d’un processus d’audit en assurance vie dans le cadre d’IFRS 17
              BELAUD P.                 Crédit Agricole Assurances  2023                                             Etude du PERU du point de vue de l’entreprise souscriptrice
         BEN YOUSSEF G.                         BNP Paribas Cardif  2023           Elaboration d'un proxy Machine Learning du BEL à partir de sa sensibilité aux aléas du marché
      BENABDERRAHMAN F.                                        MMA  2023             Revue tarifaire de l'offre Propriétaire Non-Occupant (PNO)-Elaboration d'une démarche de...
         BENCHAOUINE A.                                   Axa S.A.  2023                                                         Etude des contrats de réassurances Facultatives
             BENNANI K.                               SIA Partners  2023           Allocation stratégique d'actifs : étude de rentabilité d'un transfert d'activité vers un FRPS
              BERARD A.                                   Optimind  2023  Comment la prise en compte du risque de transition dans 1'ORSA impacte-t-elle l'actif d'un assureur...
             BERGUIG M.                              Mercer France  2023           Sensibilité de l'engagement actuariel au turnover : lissages non paramétriques et approche...
           BIGLIAZZI K.                         BNP Paribas Cardif  2023                                                                     Le risque emprunteur sur deux têtes
    BILONGI KULUNGWA B.                                   Groupama  2023 Modélisation de l'inflation au sein d'un modèle interne non-vie de Groupama dans un environnement de...
     BINET - STEPHAN E.                                  PartnerRe  2023                                            Impact du dérèglement climatique sur les tables de mortalité
            BOIDI K. E.                             Exiom Partners  2023    Mise en place d'un outil d'aide à la décision pour l'optimisation de la réassurance des assureurs...
            BONHOMME A.                       La Mutuelle Générale  2023    Elaboration de profils de risque des contrats standards en assurance complémentaire santé collective
             BONNEAU L.                             Allianz France  2023                                      Pilotage d'un portefeuille Pro en IARD à l'aide du tarif technique
         BOUABDALLAH S.                                   Forsides  2023                                                 Modélisation des arbitrages dynamiques en assurance vie
               BOZIC A.               SwissLife Santé & Prévoyance  2023           Impacts prospectifs de la réforme Résiliation Infra Annuelle en santé individuelle dans un...
              BRETON O.                               Generali Vie  2023            Problématique de l'inflation en assurance auto: exploitation de rapports d'expertise pour...
             BRIQUET C.                               Sia Partners  2023 Etude des conséquences de la remontée des taux obligataires sur le portefeuille d'un assureur vie et...
             BULTEAU L.                                 Axa France  2023  Modélisation des comportements clients sur les versements périodiques en assurance vie individuelle...
          CAMBOULIVE B.                                 AON France  2023              Modélisation sur exposition de la sinistralité incendie dans un contexte de réassurance...
              CARUSO O.                                      EIOPA  2023    Revue de Solvabilité 2 : Courbe des taux, correction pour volatilité, marge de risque, ajustement...
